status,ngrams,entropy,entropyRelative,vowel-cons,firstDigitIndex,length,digits,ip,special,port,subdomain,shortening,abnormal
1,828.4076810616284,4.393942707918268,1.6668967102665213,0.2727272727272727,29,40,4,0,1,0,3,0,0
0,1128.0958860108951,4.1551876989901,1.090130248516721,0.4444444444444444,0,48,0,0,1,0,2,0,0
1,873.9979699607443,4.710764845058316,1.1178122325987816,0.391304347826087,64,126,12,0,1,0,5,0,0
1,1159.6127006462373,4.064392248309453,0.6714587387460264,0.34615384615384615,0,41,0,0,1,0,3,1,1
0,1121.2952692187987,4.141604167868593,1.0439608677445484,0.36363636363636365,0,36,0,0,1,0,3,0,0
0,1101.8095647961845,4.187132212342207,1.0825244931239704,0.425,0,72,0,0,1,0,3,0,0
1,912.5284916770869,4.552115370751692,1.2725729281618978,0.5483870967741935,54,68,11,0,1,0,5,0,0
1,582.4266438128358,4.803363778168904,1.6347520531570168,0.4423076923076923,32,163,65,0,1,0,5,0,0
0,907.9115384615384,3.921029621737614,1.5957454541095821,0.42857142857142855,0,26,0,0,1,0,3,0,0
1,610.7291159967572,4.591578664259099,2.6441239177269207,0.5217391304347826,35,64,22,0,1,0,3,0,0
1,627.0569561157797,4.239097917988785,5.679542659450154,0.26666666666666666,10,36,9,0,1,0,5,1,0
1,1096.2340742798924,4.0864177725789865,1.91731989700583,0.3783783783783784,0,61,0,0,1,0,3,1,0
0,795.058916083916,4.951379490761219,1.7286117357688233,0.6538461538461539,46,66,14,0,1,0,3,0,0
0,1155.1402767167474,4.068728288980287,0.4530541908537994,0.38095238095238093,0,35,0,0,1,0,3,0,0
1,1084.3045587464835,4.421436190177326,1.1294216328130542,0.5161290322580645,0,113,0,0,1,0,6,0,0
0,702.7069314154681,3.6468455293152156,2.64568459891236,0.23076923076923078,0,41,0,0,1,0,3,0,0
0,741.1118953510259,3.6424896731661267,2.785712982590444,0.06666666666666667,0,23,0,0,1,0,3,0,0
0,1121.649956742059,4.039211536948156,1.6643702429892293,0.3888888888888889,0,31,0,0,1,0,3,0,0
1,1279.8038262224275,4.23580353402117,0.8040209171632111,0.5,0,84,0,0,1,0,3,0,0
1,761.8224168339112,4.0472990984266435,3.6916919060911835,0.21052631578947367,0,29,0,0,1,0,3,0,0
1,689.0834085782079,4.825204589986269,0.8674750171639447,0.41025641025641024,54,98,29,0,1,0,3,0,0
0,862.5742368742368,3.189898095464287,2.4577130240635308,0.2222222222222222,0,15,0,0,1,0,2,0,0
0,1182.6913067256817,4.308766613255314,3.5599643735302924,0.6363636363636364,0,65,0,0,1,0,3,0,0
1,765.1437143147599,5.242899292283031,1.5496750195671096,0.35,93,131,4,0,1,0,3,1,0
0,1174.4051020408162,4.191272380112911,1.2367936835741915,0.4482758620689655,0,50,0,0,1,0,3,0,0
1,1095.1624889955983,4.287539254067758,0.6816319946117293,0.5714285714285714,0,51,0,0,1,0,3,0,0
0,862.8440959987471,4.322315530038771,2.561233222778415,0.30434782608695654,36,45,6,0,1,0,4,0,0
1,807.9598120830645,4.917410844470601,1.4083483719497467,0.5151515151515151,78,159,43,0,1,0,3,0,0
1,647.3576713983691,4.618078209349709,1.582058274989535,0.3,13,44,10,0,1,0,3,0,0
1,853.3447547496039,5.208074012864434,2.0899120855274487,0.36065573770491804,37,103,8,0,1,0,4,0,0
1,879.6458937198067,4.013041446157795,2.524646281991404,0.5652173913043478,0,46,0,0,1,0,5,0,0
0,1031.8362148617964,4.143607886039516,3.398691617840759,0.6818181818181818,0,45,0,0,1,0,3,0,0
1,1235.2148619447778,4.0322539597804266,0.7347164267625268,0.6153846153846154,0,51,0,0,1,0,4,0,1
1,1020.5136715663033,3.893086896197163,1.2839176100952192,0.36363636363636365,0,38,0,0,1,0,4,0,0
1,812.4540064853883,4.774811040285755,0.7926746153641194,0.42857142857142855,37,81,23,0,1,0,3,0,0
0,1237.2680253305252,4.309917821209997,0.794931731746995,0.5573770491803278,0,112,0,0,1,0,3,1,0
1,1183.6995841995843,3.9233659245349726,1.9596609741345021,0.5238095238095238,0,39,0,0,1,0,3,0,0
1,612.3838217365463,5.234860534743135,2.3916734688296075,0.3275862068965517,35,99,8,0,1,0,3,0,0
0,1181.0516091143998,4.224751985026256,1.0439608677445484,0.46153846153846156,0,45,0,0,1,0,3,0,0
1,880.0517890772129,4.129085753935211,2.072532645855503,0.20512820512820512,18,60,2,0,1,0,6,1,0
0,710.170404994035,4.635081832331412,1.6302886594080042,0.3076923076923077,50,74,6,0,1,0,4,0,0
0,1087.2093451884782,4.079332469209647,2.0309406316442344,0.35135135135135137,0,61,0,0,1,0,4,0,0
1,970.2114709851552,4.215311532225101,2.364914074986639,0.4,19,40,5,0,1,0,5,1,0
1,984.6226495726496,4.378727103656465,0.9233560868874906,0.4,40,52,2,0,1,0,4,0,0
1,1082.960373583469,4.325560813820691,1.1063521950903512,0.43137254901960786,0,88,0,0,1,0,8,1,0
0,1359.1182655257999,4.18588130783542,1.7333183606630875,0.47619047619047616,68,74,2,0,1,0,3,0,0
0,1008.4182550139071,4.468576629687865,1.39915599116354,0.4166666666666667,44,46,3,0,1,0,3,0,0
0,1001.5342552276516,4.367964298652708,1.3746552412202944,0.3939393939393939,0,54,0,0,1,0,4,0,0
1,1162.6329489867228,4.233795548692773,0.9638756531889616,0.5,0,54,0,0,1,0,2,0,0
0,917.106777830462,4.238334671954105,3.1069050731635324,0.5789473684210527,0,38,0,0,1,0,3,0,0
0,1125.4515812545662,4.361417557494121,1.545372901358263,0.4,0,67,0,0,1,0,3,0,0
1,1034.4745519713263,4.350294142705842,1.9792492039897929,0.4117647058823529,0,62,0,0,1,0,6,0,0
1,1047.006719506735,4.342507092741192,1.2943443621026525,0.36363636363636365,33,59,4,0,1,0,4,0,0
1,1202.2929748613958,4.166333549959635,1.1653664359187947,0.5,23,57,1,0,1,0,5,0,0
0,1144.4088933691758,3.9292292966721747,1.2619821037518237,0.3888888888888889,0,32,0,0,1,0,2,0,0
1,1066.498023715415,3.9610771086455516,1.0162066473278952,0.52,0,46,0,0,1,0,3,0,0
0,1080.0893107393108,4.003259028248121,3.1069050731635324,0.6666666666666666,0,37,0,0,1,0,3,0,0
1,1122.7586990351697,4.062305474194334,1.3444651806644776,0.42857142857142855,23,36,1,0,1,0,3,1,1
1,1028.1925741578682,4.187535209236147,1.2104945607043973,0.3793103448275862,41,52,2,0,1,0,3,0,0
1,634.442585125448,3.8431390622295662,5.630945322000883,0.2857142857142857,11,32,8,0,1,0,3,1,1
0,1183.4397281639929,3.836600340868551,2.145483849239313,0.3181818181818182,0,34,0,0,1,0,2,0,0
0,905.1721367521369,3.6241717609419575,1.8018809684564339,0.42857142857142855,0,27,0,0,1,0,4,0,1
1,837.3231777883951,4.706166744360949,0.8808668815170192,0.40540540540540543,60,92,28,0,1,0,3,0,0
0,941.8608192583964,4.821601779987788,2.766869657928879,0.43636363636363634,82,102,6,0,1,0,3,0,0
0,971.6408154121864,4.007048827786958,0.6273776154951807,0.3,0,32,0,0,1,0,3,0,0
0,840.7818676640517,3.853863219997788,2.0933353322657164,0.2777777777777778,0,29,0,0,1,0,3,0,0
1,1140.6289353348177,4.541303344505569,1.3096889883592469,0.5151515151515151,87,119,1,0,1,0,5,0,0
0,1026.421768672607,4.348685533022554,1.0143209934057706,0.4375,56,59,4,0,1,0,3,0,0
0,1125.4633302872296,4.233795548692774,1.0311422138852149,0.3939393939393939,0,54,0,0,1,0,3,0,0
1,693.5121488856295,5.1182175492354895,2.0537452242955405,0.44285714285714284,19,151,41,0,1,0,4,0,0
0,1134.7361711654983,4.355023566265563,1.1459339282349794,0.4888888888888889,34,84,3,0,1,0,4,0,0
1,945.8956313660715,4.381473923348459,2.7807118865303493,0.41935483870967744,0,55,0,0,1,0,4,0,0
0,836.0732570806099,3.3082708345352603,1.9917296997529634,0.18181818181818182,0,18,0,0,1,0,2,0,0
0,996.0197748355645,4.060416641661804,1.7967446858891918,0.43478260869565216,0,39,0,0,1,0,3,0,0
0,820.9208384208383,3.8962915290459277,1.4692658490900599,0.3125,0,28,0,0,1,0,3,0,0
0,735.6939292114695,3.8431390622295662,2.480540660661912,0.14285714285714285,0,32,0,0,1,0,4,0,0
0,961.0744047619047,3.5,2.991088801012975,0.2,0,16,0,0,1,0,2,0,0
1,1066.5420352594265,3.708132064658602,1.5263302578078246,0.3076923076923077,0,23,0,0,1,0,2,0,0
0,891.9353676336435,3.9952378913808873,1.9441252130427829,0.5714285714285714,0,29,0,0,1,0,4,0,1
1,1054.3176579699568,3.9262723741395082,0.856154207151038,0.2777777777777778,0,29,0,0,1,0,3,0,0
0,1006.899431936627,4.11073699294092,1.924399015427433,0.25925925925925924,0,41,0,0,1,0,3,0,0
1,528.0857142857143,4.027169118440616,2.5967187367828704,0.18181818181818182,16,22,4,0,1,0,2,1,0
1,699.4270688788337,4.635361295347743,1.4222212727253314,0.42857142857142855,27,52,2,0,1,0,4,0,0
1,729.9788209261893,3.9182084341546157,1.4892043142778388,0.42105263157894735,29,38,1,0,1,0,4,0,0
0,850.0656814449918,4.0062389286533895,1.6246167811506427,0.2777777777777778,0,30,0,0,1,0,4,0,0
1,1013.987592856014,4.409893507236863,1.1178122325987816,0.5675675675675675,62,76,8,0,1,0,5,0,0
1,1052.9700787234692,4.7147887327312095,2.3080043560737855,0.5621890547263682,8,430,17,1,1,0,25,0,1
0,1277.5060203060204,3.848249906801916,3.398691617840759,0.55,0,37,0,0,1,0,3,1,0
0,1064.4553945948649,4.385756848415241,1.198086913493342,0.4358974358974359,64,73,5,0,1,0,4,0,0
1,460.19948693282026,4.7334448240680045,1.4970618057921692,0.4444444444444444,32,56,6,0,1,0,3,0,0
0,1104.463867576016,4.388361818902569,1.4692332863723012,0.5135135135135135,0,70,0,0,1,0,2,0,0
1,1108.9122883936184,4.425591860285231,1.4981081719810805,0.42857142857142855,0,70,0,0,1,0,4,0,0
0,977.309602815485,4.38815450741941,1.4755430014445068,0.4444444444444444,49,52,4,0,1,0,3,0,0
0,996.6946607341491,3.8403471164197516,1.1507132569751912,0.4117647058823529,0,31,0,0,1,0,3,0,0
1,819.1463454772444,4.598093131678854,1.509822260078662,0.5405405405405406,54,90,22,0,1,0,5,1,0
0,824.3649440137812,4.320096297369663,3.219324043286112,0.5263157894736842,39,45,7,0,1,0,4,0,0
0,1018.2207293056349,4.490564832439369,1.6096816238259206,0.375,19,55,2,0,1,0,4,0,0
1,1010.2881486568987,4.504394113022326,4.971644563920902,0.5483870967741935,13,65,5,0,1,0,4,0,0
1,1037.0264644569522,4.113172736114331,1.0222099887485483,0.55,24,41,3,0,1,0,3,0,0
1,833.485398380622,4.739339154893165,0.9843296733474214,0.6551724137931034,43,71,12,0,1,0,3,0,0
1,889.8946602428987,5.006754715499977,2.3618086514021117,0.41304347826086957,33,83,6,0,1,0,3,0,0
1,721.2448469354944,4.773958169341782,1.2176625331011184,0.6666666666666666,41,73,25,0,1,0,2,0,0
1,702.0651364139735,4.555467129755084,1.0937940260392056,0.2857142857142857,31,44,9,0,1,0,3,0,0
1,983.8396710803557,4.845000791663592,1.0894948792659611,0.4,71,114,6,0,1,0,5,0,0
1,873.3793039203433,4.845831026631984,1.1178122325987816,0.48333333333333334,64,127,20,0,1,0,5,0,0
1,749.7484349774483,5.141475560017514,2.5635302065640864,0.25,37,99,7,0,1,0,5,0,1
1,889.0686147186148,4.518411895854318,1.5785492275002588,0.40625,0,56,0,0,1,0,3,0,0
0,1213.8181779378417,4.110685332329446,1.6722152777669006,0.4827586206896552,0,51,0,0,1,0,4,0,0
1,1075.1269067627052,3.861042196724363,2.0217471967976506,0.7083333333333334,0,51,0,0,1,0,6,0,0
0,848.0965699505173,4.393942707918268,0.8744932387451153,0.34782608695652173,0,40,0,0,1,0,3,0,0
1,642.9352802215706,3.861983513035609,2.924214496419346,0.15,0,33,0,0,1,0,4,0,1
0,1212.7395597919856,4.370833399832015,1.4418267815532815,0.48,0,88,0,0,1,0,3,0,0
0,1177.2780182600973,4.121200690389197,1.553424252129452,0.7924528301886793,34,122,6,0,1,0,3,0,0
0,1186.955695001755,4.207102361466449,0.8719410350246096,0.5517241379310345,0,53,0,0,1,0,4,0,0
1,803.2059288537549,4.338141847079169,2.4074071771017835,0.4090909090909091,34,46,4,0,1,0,7,0,1
1,1175.9587924058512,4.083274571476652,0.6463776589777174,0.4090909090909091,0,36,0,0,1,0,3,1,1
0,1021.6636138919786,3.8001821971347023,1.270928687222151,0.3888888888888889,0,31,0,0,1,0,3,0,0
0,820.2108708500359,4.147593366144262,2.196986374110205,0.27586206896551724,0,48,0,0,1,0,3,0,0
1,1312.7076514318098,4.264700218300117,2.871805333243034,0.6415094339622641,0,101,0,0,1,0,3,0,0
0,1037.8668073796123,4.277926089825634,1.2369642013737887,0.43478260869565216,0,41,0,0,1,0,4,0,0
1,1043.2244955838262,4.303830742923251,1.2345823666039588,0.4090909090909091,25,43,4,0,1,0,5,0,1
0,818.2018315018314,3.506890595608518,2.1209365947264054,0.2222222222222222,0,15,0,0,1,0,2,0,0
0,860.2012388695317,4.246151577840245,3.4243078178698423,0.2608695652173913,22,42,3,0,1,0,4,0,0
0,1296.2318527410964,3.9530021170359873,1.4901714298628412,0.5,0,51,0,0,1,0,2,0,0
1,945.5903291705213,3.965199876515855,1.2461478873557552,0.37037037037037035,0,48,0,0,1,0,4,0,0
0,1105.9820192261302,4.245453029221314,0.9511363213531818,0.5185185185185185,0,49,0,0,1,0,2,0,0
1,886.7445893719806,4.213660689688185,1.7119828684702072,0.4166666666666667,0,25,0,0,1,0,2,0,0
0,1091.3548360833695,4.00799441649887,1.8588697305770543,0.35714285714285715,33,49,1,0,1,0,3,1,0
0,1030.4573825675814,4.2665414066556515,2.086164245269782,0.3448275862068966,44,48,1,0,1,0,4,0,0
1,1150.733706903871,4.68675711922719,1.0319016270646724,0.5344827586206896,69,108,4,0,1,0,5,0,0
1,1188.7047087573403,4.028490680178816,0.8235906077288546,0.391304347826087,0,39,0,0,1,0,3,0,0
0,986.8156916044574,4.4995817701478344,1.2993498709044862,0.34,0,80,0,0,1,0,5,0,0
0,983.6265639589168,3.9749375012019263,1.3928498510444522,0.2608695652173913,0,36,0,0,1,0,3,0,0
0,766.5355786189119,3.91379956460568,1.293442198620883,0.16666666666666666,0,28,0,0,1,0,3,0,0
1,678.9785862658847,4.513794876803093,3.0999213941234105,0.25,29,33,2,0,1,0,3,0,0
0,790.1824142041532,3.696624999159019,2.4713297407707238,0.14285714285714285,0,23,0,0,1,0,4,1,1
0,1236.1453307511204,4.311779809188084,1.2431948421974837,0.4772727272727273,0,77,0,0,1,0,3,0,0
1,522.2862242384563,5.2988521944101725,1.5726581140294789,0.41739130434782606,36,342,142,0,1,0,6,0,0
1,822.8181075812655,4.293594289588575,2.5113273109874332,0.4444444444444444,9,38,5,0,1,0,3,0,0
0,1216.7089353727642,4.2945545745150735,1.1163243980385502,0.525,0,73,0,0,1,0,3,0,0
0,762.9083068589117,4.12728313431329,1.9564639909113577,0.4444444444444444,0,33,0,0,1,0,3,0,0
1,1043.8090422015796,4.139601691100084,0.9919865882033725,0.25,0,67,0,0,1,0,4,0,0
0,1082.6747273589378,4.201692923824033,1.6859333218301562,0.42857142857142855,38,39,2,0,1,0,3,0,0
0,746.7213987703118,3.8035088547976788,2.013718665648075,0.2857142857142857,0,24,0,0,1,0,3,0,0
0,814.3628205128206,3.8441065448145375,1.492524855957903,0.17647058823529413,0,26,0,0,1,0,3,0,0
0,734.0183219656905,4.1604200911461655,3.043235319040938,0.13636363636363635,31,39,5,0,1,0,3,0,0
1,412.6345349315471,4.758406544460784,1.4020668707894453,0.6,31,62,22,0,1,0,4,0,0
1,1015.1108922243069,4.241102309232295,1.2758151821800963,0.43478260869565216,0,41,0,0,1,0,3,0,0
1,1153.394388214125,4.043942707918268,0.970643876029176,0.4166666666666667,0,40,0,0,1,0,3,1,1
0,1096.4559663865546,4.18520041193298,1.2383822584061188,0.3548387096774194,0,51,0,0,1,0,4,0,0
0,986.0532160324833,4.427584211531937,1.681302648579081,0.3870967741935484,29,59,4,0,1,0,3,1,0
0,1004.7571825396826,3.921593511005629,1.2292675338265306,0.36666666666666664,0,50,0,0,1,0,4,0,0
1,1191.364544997486,4.079965439170122,1.1205508271953821,0.5769230769230769,28,52,3,0,1,0,3,0,0
1,1111.6976654151924,3.9987280573706054,1.2968170757109523,0.5217391304347826,0,43,0,0,1,0,3,0,0
1,1054.222568708782,4.325034001454413,0.7793948129918367,0.5333333333333333,35,94,12,0,1,0,4,0,1
0,1129.7826936814079,4.025756904931549,1.9364537185212913,0.45714285714285713,0,60,0,0,1,0,5,0,0
0,924.8092320261438,3.6143694458867563,1.9613181756631974,0.2727272727272727,0,18,0,0,1,0,2,0,0
1,648.6139129488145,5.6343465785242275,1.7113371270147524,0.3170731707317073,62,204,27,0,1,0,3,1,0
1,905.3407736763053,4.688460097983368,1.1063521950903512,0.4444444444444444,38,94,15,0,1,0,8,1,0
1,980.5799822805919,4.043544614839371,1.8768506145060764,0.45454545454545453,0,41,0,0,1,0,5,0,0
1,485.10572182089214,3.576617644908665,4.883213015427452,0.1111111111111111,12,19,3,0,1,0,3,0,0
1,1204.675307698837,3.9760107890421,1.0221469385373512,0.35,25,35,1,0,1,0,3,0,0
1,1083.4604643549646,4.163965146396304,0.6895700777272549,0.2926829268292683,0,63,0,0,1,0,4,0,1
1,916.6906049308935,4.284458313732673,1.7238049551942,0.48148148148148145,42,53,4,0,1,0,3,0,0
1,1139.7008128676623,4.177328825158426,0.6771247960775167,0.5789473684210527,0,75,0,0,1,0,5,1,0
1,1057.7325184619303,4.272140159802108,2.1865204280670127,0.4444444444444444,20,35,4,0,1,0,3,0,1
1,697.2621488160962,5.335964154987066,2.104644486668363,0.3826086956521739,63,210,14,0,1,0,5,0,0
0,1248.7251166146514,4.0360409258397825,1.1611977120761903,0.4230769230769231,0,44,0,0,1,0,2,0,0
1,626.6927188262088,4.430847778121618,3.0062925736604127,0.5853658536585366,58,150,73,0,1,0,6,0,0
1,1023.3354427301796,4.028490680178816,0.8812921014971978,0.36363636363636365,0,39,0,0,1,0,4,0,0
1,916.3780508619219,4.163702445739504,1.7841404515335837,0.34210526315789475,0,64,0,0,1,0,3,0,0
1,658.2553533992213,5.034155776226639,1.402923950517937,0.3148148148148148,72,106,17,0,1,0,5,0,1
1,956.4533013963161,4.0286393118385755,1.525003756710608,0.5882352941176471,0,34,0,0,1,0,3,0,0
0,1079.0203105921858,4.322314067428179,3.1069050731635324,0.6060606060606061,0,65,0,0,1,0,3,0,0
1,814.364296382882,4.309416071742446,2.640516650636581,0.2857142857142857,12,60,2,0,1,0,4,0,0
1,1056.322995169082,3.813660689688185,1.0002009849935631,0.35714285714285715,0,25,0,0,1,0,2,0,0
0,945.3242149031622,4.291687154704211,0.9508625666273361,0.42105263157894735,35,39,5,0,1,0,3,0,0
0,758.884476581845,4.201231789474708,2.554968828964965,0.2608695652173913,0,38,0,0,1,0,4,0,0
1,493.81048873705464,5.238177620161939,2.8573517393948564,0.3037974683544304,75,129,3,0,1,0,3,0,0
0,1106.7614077425842,4.159802527016963,1.3276468455063795,0.4482758620689655,0,52,0,0,1,0,3,0,0
1,445.01401204159816,3.8980685120588383,7.190041709827439,0.2222222222222222,8,30,11,1,1,0,4,0,0
0,1097.9094778429455,3.861983513035609,2.6143871397925884,0.35,0,33,0,0,1,0,3,0,1
0,1238.0500332189404,4.554342919025287,1.8062164000384573,0.6206896551724138,42,118,9,0,1,0,4,0,0
0,1287.4522886989555,3.8380398168981564,1.1220870588386318,0.4666666666666667,0,27,0,0,1,0,2,0,0
0,760.5289184499711,4.645817969512606,1.6541484902904806,0.53125,32,78,13,0,1,0,4,0,0
1,1008.6648586707411,4.185867302411998,2.338430746590382,0.42105263157894735,15,35,1,0,1,0,3,0,0
1,1089.4098342293908,3.902518266288633,1.1019530534269972,0.47058823529411764,0,32,0,0,1,0,2,0,0
1,922.0875922725722,4.320967001462483,1.8613208414982032,0.3055555555555556,20,64,4,0,1,0,6,1,0
1,784.593369685475,4.293594289588574,2.0143721193396886,0.2727272727272727,14,38,3,0,1,0,3,0,0
0,704.9538866930171,3.709147917027245,2.7087666148792544,0.4166666666666667,0,24,0,0,1,0,4,0,0
0,1079.8397406904871,4.287409488398752,1.8109991728207877,0.43902439024390244,0,68,0,0,1,0,4,0,0
1,967.0338013312852,4.66956877015949,1.1178122325987816,0.6538461538461539,65,126,21,0,1,0,5,0,0
0,1055.7422034604963,4.161953223919209,3.1069050731635324,0.65,0,41,0,0,1,0,3,0,0
0,943.8994051289959,4.478308011580246,3.1069050731635324,0.56,0,48,0,0,1,0,3,0,0
0,920.9861643252448,3.9262723741395074,1.1847128868040158,0.5333333333333333,0,29,0,0,1,0,3,0,0
0,738.7335309617919,3.740601562950723,2.774316572738712,0.125,0,24,0,0,1,0,3,0,0
0,921.1416383219954,4.233269689515107,2.1850278780196035,0.3,14,50,1,0,1,0,4,0,0
1,975.334525004267,4.7008103025168735,1.1178122325987816,0.55,62,126,15,0,1,0,5,0,0
0,936.4303534303535,4.162980744225907,2.9918902934402327,0.36363636363636365,0,39,0,0,1,0,3,0,0
1,939.2000789490713,4.585580221161115,1.3994777446575117,0.37254901960784315,72,102,20,0,1,0,2,0,0
0,1010.6736744530959,4.147114052043201,1.3874826241076441,0.35294117647058826,25,31,2,0,1,0,3,0,0
1,585.6415434390811,5.102851527630876,1.4020668707894453,0.5625,31,86,24,0,1,0,4,0,0
0,952.9880981591508,4.658557949765055,1.3214766021673243,0.41025641025641024,45,78,8,0,1,0,3,0,0
0,959.6322143161224,3.8573068568981284,1.532551939468118,0.29411764705882354,0,29,0,0,1,0,4,0,0
0,593.0789854187032,4.309101316131471,2.661859211045975,0.26666666666666666,27,33,7,0,1,0,3,0,0
1,709.4753846153845,3.8659986132745803,2.0059764314530955,0.25,0,27,0,0,1,0,2,0,0
0,982.748078612209,3.6572682296173893,1.1907155018045943,0.2857142857142857,0,24,0,0,1,0,3,0,0
0,1185.9435629961945,3.9233659245349726,0.9676221099765135,0.391304347826087,0,39,0,0,1,0,3,0,0
0,1024.0970695970695,4.208966082694624,1.3220952867021236,0.4666666666666667,0,28,0,0,1,0,3,0,0
1,617.9727717764465,5.089511243413619,1.3786212953787251,0.2641509433962264,41,87,11,0,1,0,3,1,0
0,944.6283886593019,4.106984383697434,1.5018508670924637,0.5217391304347826,0,43,0,0,1,0,3,0,0
0,964.5558024691359,3.810081020521731,1.5500792794431721,0.3125,0,27,0,0,1,0,3,0,0
0,1069.6289008900892,4.51960578309583,1.4733144608593107,0.5416666666666666,26,101,8,0,1,0,3,0,0
0,1156.5576368595364,4.264468304875447,1.0149443992581837,0.47058823529411764,0,60,0,0,1,0,4,0,0
0,805.6753990832937,4.306494947369445,2.306897449648531,0.3181818181818182,0,38,0,0,1,0,4,0,0
1,880.4168673317281,3.7474130395316396,2.5650413483320387,0.4,0,19,0,0,1,0,2,0,0
0,195.08686051874113,3.922508200422574,1.946320575126556,0.13725490196078433,37,137,36,0,1,0,4,0,0
1,830.8578325316971,5.345567892628931,2.5289296116660878,0.32450331125827814,73,263,34,0,1,0,15,0,0
1,540.9341991341992,3.936260027531526,2.5967187367828704,0.08333333333333333,16,22,4,0,1,0,2,1,0
1,1108.1637637514236,4.456589015909593,1.0024220528381007,0.5531914893617021,34,89,1,0,1,0,4,0,0
0,1051.338149504816,3.9407598325400897,0.8650445226536151,0.29411764705882354,0,28,0,0,1,0,3,0,0
0,1058.5785298161818,4.050848813848051,1.3260686691723498,0.3225806451612903,45,49,1,0,1,0,4,0,0
1,924.8157740192623,4.266977196801592,1.8199631004901868,0.391304347826087,18,45,3,0,1,0,5,1,0
1,858.1653530377667,3.7898980954642876,1.654993451619381,0.2631578947368421,0,30,0,0,1,0,3,0,1
1,1178.8871149814547,4.120835077024071,1.3066998581397928,0.40625,0,54,0,0,1,0,3,0,0
0,1135.5694520464635,3.909368063943885,1.2507119220004341,0.5,0,29,0,0,1,0,3,0,0
1,1193.096517056435,4.421954042031814,1.7010436648227507,0.6363636363636364,0,86,0,0,1,0,4,0,0
1,784.4222649572649,3.9500637564362093,3.2592314982181305,0.38461538461538464,20,26,2,0,1,0,3,0,0
0,1042.970229608588,4.724041618371038,1.3043112265031336,0.5897435897435898,42,83,9,0,1,0,3,0,0
1,1285.2471655328798,4.111674323875523,0.6380592633550919,0.5,0,49,0,0,1,0,3,0,0
0,593.0789854187032,4.369707376737533,2.661859211045975,0.26666666666666666,27,33,7,0,1,0,3,0,0
0,1050.706893837157,4.103055907333275,1.2654284423232907,0.43478260869565216,0,40,0,0,1,0,3,0,0
0,1046.7884840468173,4.307117985122874,1.2095561349963972,0.2857142857142857,0,56,0,0,1,0,3,0,0
0,890.4971699905033,3.676390632579627,1.3588088737177897,0.23529411764705882,0,27,0,0,1,0,3,0,0
0,1140.1617281695287,4.328035839952227,0.5755216664065343,0.40476190476190477,0,70,0,0,1,0,4,1,0
1,1072.9132012795276,4.568664968892781,2.3113038184421235,0.40789473684210525,75,128,7,0,1,0,11,0,1
1,449.22043478260866,4.213660689688184,2.9961703404508446,0.21428571428571427,15,25,3,0,1,0,2,0,0
